event_id,lab,event_type,announcement_date,v_pre_billion,v_post_billion,raise_amount_billion,lead_investors,key_strategic_investors,source_urls,confidence,notes
A_2023Q2_C_001,anthropic,primary_round,2023-05-23,3.7,4.1,0.45,Spark Capital,"Salesforce, Zoom, Google",https://www.anthropic.com/news,P,"Series C; URL is news index, permalink TBV. Salesforce subsequent follow-ons reportedly bring CRM cumulative exposure to ~$330M (per Benioff)."
A_2023Q3_AMZN_001,anthropic,commitment,2023-09-25,,,1.25,Amazon,Amazon,https://www.aboutamazon.com/news/aws,V,Initial $1.25B of $4B Anthropic commitment; convertible-note structure.
A_2023Q4_GOOG_001,anthropic,commitment,2023-10-27,,,2.0,Google,Google,https://blog.google/technology/ai,P,"Reported $500M initial plus $1.5B over time; convertible-note structure; URL is index, permalink TBV."
A_2024Q1_AMZN_002,anthropic,commitment,2024-03-27,,,2.75,Amazon,Amazon,https://www.aboutamazon.com/news/aws,V,Completion of Amazon $4B total commitment.
A_2025Q1_E_001,anthropic,primary_round,2025-03-03,58.0,61.5,3.5,Lightspeed Venture Partners,"Salesforce, Cisco, Fidelity",https://www.anthropic.com/news,P,"Series E; Lightspeed-led; URL is news index, permalink TBV."
A_2025Q3_F_001,anthropic,primary_round,2025-09-02,170.0,183.0,13.0,ICONIQ Capital,"Fidelity, Lightspeed, GV, Spark, Bessemer, Goldman",https://www.anthropic.com/news,V,Series F at $183B post-money; first Anthropic round above $100B.
A_2025Q3_GOOG_002,anthropic,convertible_note,2025-09-15,,,0.75,Google,Google,https://www.nytimes.com/2025/03/27/technology/google-anthropic-investment.html,P,$750M convertible disclosed via US v. Google court filing March 2025; not yet converted as of last public disclosure.
A_2026Q1_G_001,anthropic,primary_round,2026-02-12,350.0,380.0,30.0,"GIC, Coatue Management","Microsoft, Nvidia, D.E. Shaw, Founders Fund, MGX, Dragoneer, ICONIQ",https://www.anthropic.com/news,V,Series G; consolidates Nov 2025 NVDA $10B and MSFT $5B commitments.
A_2026Q2_AMZN_003,anthropic,extension,2026-04-20,,380.0,5.0,Amazon,Amazon,https://www.aboutamazon.com/news/aws,V,"Additional $5B; up-to-$25B total commitment; $100B AWS spend over 10y; 5GW Trainium."
A_2026Q2_GOOG_003,anthropic,extension,2026-04-24,,350.0,10.0,Google,Google,https://blog.google,V,"Additional $10B at $350B reference valuation; up-to-$40B total; 5GW TPU over 5y."
O_2019Q3_MSFT_001,openai,commitment,2019-07-22,,,1.0,Microsoft,Microsoft,https://blogs.microsoft.com/blog/2019/07/22/openai-forms-exclusive-computing-partnership-with-microsoft-to-build-new-azure-ai-supercomputing-technologies/,V,Initial $1B Microsoft commitment; Azure exclusivity; capped-profit structure.
O_2023Q1_MSFT_002,openai,commitment,2023-01-23,,,10.0,Microsoft,Microsoft,https://blogs.microsoft.com/blog/2023/01/23/microsoftandopenaiextendpartnership/,V,Multi-year multi-billion extended partnership; reported ~$10B.
O_2024Q4_THRIVE_001,openai,primary_round,2024-10-02,150.0,157.0,6.6,Thrive Capital,"Microsoft, Nvidia, SoftBank, Khosla, Altimeter, Fidelity, MGX",https://openai.com/news,V,Tender-plus-primary at ~$157B post-money.
O_2025Q1_SOFTBANK_001,openai,primary_round,2025-03-31,260.0,300.0,40.0,SoftBank,"Microsoft, Coatue, Altimeter, Thrive",https://openai.com/news,V,SoftBank-led $40B commitment; tranched.
O_2025Q4_RESTRUCTURE_001,openai,restructure,2025-10-28,,500.0,,Microsoft and OpenAI Foundation,Microsoft and OpenAI Foundation,https://openai.com/news,V,"OpenAI Group PBC; MSFT 26.79%; Foundation 25.8% plus 10x warrant; 100x profit cap removed; $250B Azure commit; IP through 2032."
O_2026Q1_SOFTBANK_002,openai,extension,2026-03-31,,852.0,40.0,SoftBank,"SoftBank, Andreessen Horowitz, D.E. Shaw, MGX, TPG, T. Rowe Price",https://openai.com/news,P,"Extension of March 2025 commitment; full round reported $110-122B at $852B post-money; round size discrepancy across sources."
O_2026Q1_NVDA_001,openai,commitment,2026-01-22,,,30.0,Nvidia,Nvidia,https://nvidianews.nvidia.com,P,"Letter of intent; scaled down from initial up-to-$100B headline; largely GPU credits; URL is news root, permalink TBV."
